Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Units
Winter 2020,Regular Academic Session,Engineering,20780,Electrical Engineering And Computer Science (EECS),183,17,Elem Prog Concepts,LAB,P  W,,,,TH,,,,1/8/2020,4/21/2020,2-4PM,G550 DENT,,4
Winter 2020,Regular Academic Session,Engineering,21259,Electrical Engineering And Computer Science (EECS),183,18,Elem Prog Concepts,LAB,P  W,,,W,,,,,1/8/2020,4/21/2020,4-6PM,R0420 BUS,,4
Winter 2020,Regular Academic Session,Engineering,21262,Electrical Engineering And Computer Science (EECS),183,19,Elem Prog Concepts,LAB,P  W,,,,,F,,,1/8/2020,4/21/2020,9-11AM,1046 DANA,,4
Winter 2020,Regular Academic Session,Engineering,21263,Electrical Engineering And Computer Science (EECS),183,20,Elem Prog Concepts,LAB,P  W,,,,,F,,,1/8/2020,4/21/2020,3-5PM,1567 NUB,,4
Winter 2020,Regular Academic Session,Engineering,30041,Electrical Engineering And Computer Science (EECS),183,21,Elem Prog Concepts,LAB,P  W,M,,,,,,,1/8/2020,4/21/2020,1-3PM,1033 DENT,,4
Winter 2020,Regular Academic Session,Engineering,22720,Electrical Engineering And Computer Science (EECS),183,22,Elem Prog Concepts,LAB,P  W,,,,,F,,,1/8/2020,4/21/2020,1-3PM,1024 DANA,,4
Winter 2020,Regular Academic Session,Engineering,23372,Electrical Engineering And Computer Science (EECS),183,23,Elem Prog Concepts,LAB,P  W,M,,,,,,,1/8/2020,4/21/2020,4-6PM,2306 MH,,4
Winter 2020,Regular Academic Session,Engineering,23373,Electrical Engineering And Computer Science (EECS),183,24,Elem Prog Concepts,LAB,P  W,,T,,,,,,1/8/2020,4/21/2020,4-6PM,1655 SPH1A,,4
Winter 2020,Regular Academic Session,Engineering,23375,Electrical Engineering And Computer Science (EECS),183,25,Elem Prog Concepts,LAB,P  W,M,,,,,,,1/8/2020,4/21/2020,4-6PM,3254 LSA,,4
Winter 2020,Regular Academic Session,Engineering,23376,Electrical Engineering And Computer Science (EECS),183,26,Elem Prog Concepts,LAB,P  W,M,,,,,,,1/8/2020,4/21/2020,2-4PM,1024 DANA,,4
Winter 2020,Regular Academic Session,Engineering,23377,Electrical Engineering And Computer Science (EECS),183,27,Elem Prog Concepts,LAB,P  W,,,W,,,,,1/8/2020,4/21/2020,9-11AM,1544 NUB,,4
Winter 2020,Regular Academic Session,Engineering,23378,Electrical Engineering And Computer Science (EECS),183,28,Elem Prog Concepts,LAB,P  W,,T,,,,,,1/8/2020,4/21/2020,4-6PM,1122 SPH2,,4
Winter 2020,Regular Academic Session,Engineering,25655,Electrical Engineering And Computer Science (EECS),183,29,Elem Prog Concepts,LAB,P  W,M,,,,,,,1/8/2020,4/21/2020,9-11AM,1046 DANA,,4
Winter 2020,Regular Academic Session,Engineering,25656,Electrical Engineering And Computer Science (EECS),183,30,Elem Prog Concepts,LAB,P  W,,,W,,,,,1/8/2020,4/21/2020,9-11AM,B856 EQ,,4
Winter 2020,Regular Academic Session,Engineering,27787,Electrical Engineering And Computer Science (EECS),183,31,Elem Prog Concepts,LAB,P  W,M,,,,,,,1/8/2020,4/21/2020,4-6PM,1405 EQ,,4
Winter 2020,Regular Academic Session,Engineering,25657,Electrical Engineering And Computer Science (EECS),183,32,Elem Prog Concepts,LAB,P  W,,T,,,,,,1/8/2020,4/21/2020,12-2PM,1544 NUB,,4
Winter 2020,Regular Academic Session,Engineering,25982,Electrical Engineering And Computer Science (EECS),183,33,Elem Prog Concepts,LAB,P  W,,,,,F,,,1/8/2020,4/21/2020,3-5PM,1033 DENT,,4
Winter 2020,Regular Academic Session,Engineering,27788,Electrical Engineering And Computer Science (EECS),183,34,Elem Prog Concepts,LAB,P  W,,,W,,,,,1/8/2020,4/21/2020,4-6PM,1405 EQ,,4
Winter 2020,Regular Academic Session,Engineering,34266,Electrical Engineering And Computer Science (EECS),183,35,Elem Prog Concepts,LAB,P  W,M,,,,,,,1/8/2020,4/21/2020,11-1PM,1024 DANA,,4
Winter 2020,Regular Academic Session,Engineering,34304,Electrical Engineering And Computer Science (EECS),183,99,Elem Prog Concepts,MID,A   ,,,,,,,, , ,ARR,ARR,,4
Winter 2020,Regular Academic Session,Engineering,32466,Electrical Engineering And Computer Science (EECS),200,1,Elec Eng Sys Des I,LEC,A   ,,T,,,,,,1/8/2020,4/21/2020,3-430PM,1008 FXB,Pierce,2
Winter 2020,Regular Academic Session,Engineering,32467,Electrical Engineering And Computer Science (EECS),200,11,Elec Eng Sys Des I,LAB,P  W,,,,TH,,,,1/8/2020,4/21/2020,130-430PM,1230 EECS,Pierce,2
Winter 2020,Regular Academic Session,Engineering,33912,Electrical Engineering And Computer Science (EECS),200,12,Elec Eng Sys Des I,LAB,P  W,,T,,,,,,1/8/2020,4/21/2020,430-730PM,1230 EECS,Pierce,2
Winter 2020,Regular Academic Session,Engineering,30256,Electrical Engineering And Computer Science (EECS),201,1,Comp Sci Pragmatics,LEC,P RW,,,,,F,,,1/8/2020,4/21/2020,10-1130AM,220 CHRYS,Nguyen,1
