Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Units
Winter 2020,Regular Academic Session,Engineering,27231,Electrical Engineering And Computer Science (EECS),548,3,Info Visualization,DIS,P RW,,,W,,,,,1/8/2020,4/21/2020,1-230PM,2255 NQ,Kay,3
Winter 2020,Regular Academic Session,Engineering,30527,Electrical Engineering And Computer Science (EECS),548,101,Info Visualization,LEC,A R ,M,,,,,,,1/8/2020,4/21/2020,1-230PM,ARR,Kay,3
Winter 2020,Regular Academic Session,Engineering,30528,Electrical Engineering And Computer Science (EECS),548,102,Info Visualization,DIS,P RW,,,W,,,,,1/8/2020,4/21/2020,230-4PM,ARR,Kay,3
Winter 2020,Regular Academic Session,Engineering,30529,Electrical Engineering And Computer Science (EECS),548,103,Info Visualization,DIS,P RW,,,W,,,,,1/8/2020,4/21/2020,1-230PM,ARR,Kay,3
Winter 2020,Regular Academic Session,Engineering,16574,Electrical Engineering And Computer Science (EECS),557,1,Communication Netwk,LEC,P  W,M,,W,,,,,1/8/2020,4/21/2020,12-130PM,1006 DOW,Ying,3
Winter 2020,Regular Academic Session,Engineering,21807,Electrical Engineering And Computer Science (EECS),560,1,Linear Systems Thry,LEC,A   ,M,,W,,F,,,1/8/2020,4/21/2020,930-1030AM,1500 EECS,Scruggs,4
Winter 2020,Regular Academic Session,Engineering,21808,Electrical Engineering And Computer Science (EECS),560,11,Linear Systems Thry,DIS,P  W,,,,TH,,,,1/8/2020,4/21/2020,530-630PM,1500 EECS,,4
Winter 2020,Regular Academic Session,Engineering,18239,Electrical Engineering And Computer Science (EECS),561,1,Des Dig Cont Sys,LEC,P  W,,T,,TH,,,,1/8/2020,4/21/2020,3-430PM,G906 COOL,Vasudevan,3
Winter 2020,Regular Academic Session,Engineering,10713,Electrical Engineering And Computer Science (EECS),562,1,Nl Sys&Con,LEC,P  W,M,,W,,,,,1/8/2020,4/21/2020,130-3PM,165 CHRYS,Meerkov,3
Winter 2020,Regular Academic Session,Engineering,17521,Electrical Engineering And Computer Science (EECS),564,1,"Estim, Filter&Detect",LEC,P  W,M,,W,,,,,1/8/2020,4/21/2020,9-1030AM,1571 GGBL,Hero III,3
Winter 2020,Regular Academic Session,Engineering,10714,Electrical Engineering And Computer Science (EECS),565,1,Lin Feedback Control,LEC,P  W,,T,,TH,,,,1/8/2020,4/21/2020,1030-12PM,1311 EECS,Freudenberg,3
Winter 2020,Regular Academic Session,Engineering,31062,Electrical Engineering And Computer Science (EECS),568,881,Mobile Robotics,LEC,PI  ,M,,W,,,,,1/8/2020,4/21/2020,5-7PM,ARR,Ghaffari Jadidi,4
Winter 2020,Regular Academic Session,Engineering,32474,Electrical Engineering And Computer Science (EECS),569,1,Prod Syst Eng,LEC,P  W,,T,,TH,,,,1/8/2020,4/21/2020,430-6PM,151 CHRYS,Meerkov,3
Winter 2020,Regular Academic Session,Engineering,35888,Electrical Engineering And Computer Science (EECS),569,881,Prod Syst Eng,LEC,P   ,,T,,TH,,,,1/8/2020,4/21/2020,430-6PM,ARR,Meerkov,3
Winter 2020,Regular Academic Session,Engineering,20269,Electrical Engineering And Computer Science (EECS),570,1,Parallel Compt Arch,LEC,P  W,M,,W,,,,,1/8/2020,4/21/2020,130-3PM,1017 DOW,Narayanasamy,4
Winter 2020,Regular Academic Session,Engineering,20269,Electrical Engineering And Computer Science (EECS),570,1,Parallel Compt Arch,LEC,P  W,,,,,F,,,1/8/2020,4/21/2020,130-230PM,1303 EECS,,4
Winter 2020,Regular Academic Session,Engineering,31821,Electrical Engineering And Computer Science (EECS),582,1,Adv Operat Sys,LEC,P  W,,T,,TH,,,,1/8/2020,4/21/2020,12-130PM,1005 DOW,Kasikci,4
Winter 2020,Regular Academic Session,Engineering,31821,Electrical Engineering And Computer Science (EECS),582,1,Adv Operat Sys,LEC,P  W,,,,,F,,,1/8/2020,4/21/2020,130-230PM,1008 FXB,,4
Winter 2020,Regular Academic Session,Engineering,10715,Electrical Engineering And Computer Science (EECS),586,1,Algorithms,LEC,A   ,M,,W,,,,,1/8/2020,4/21/2020,12-130PM,1571 GGBL,Stout,4
Winter 2020,Regular Academic Session,Engineering,17436,Electrical Engineering And Computer Science (EECS),586,11,Algorithms,DIS,P  W,,,,,F,,,1/8/2020,4/21/2020,130-230PM,1500 EECS,,4
Winter 2020,Regular Academic Session,Engineering,17437,Electrical Engineering And Computer Science (EECS),586,12,Algorithms,DIS,P  W,,,,,F,,,1/8/2020,4/21/2020,230-330PM,133 CHRYS,,4
Winter 2020,Regular Academic Session,Engineering,33444,Electrical Engineering And Computer Science (EECS),590,1,Adv Prog Lang,LEC,A   ,M,,W,,,,,1/8/2020,4/21/2020,9-1030AM,1024 FXB,Jeannin,4
Winter 2020,Regular Academic Session,Engineering,33445,Electrical Engineering And Computer Science (EECS),590,11,Adv Prog Lang,DIS,P  W,M,,W,,,,,1/8/2020,4/21/2020,1030-11AM,1024 FXB,,4
Winter 2020,Regular Academic Session,Engineering,19340,Electrical Engineering And Computer Science (EECS),592,1,AI Foundations,LEC,P RW,M,,W,,,,,1/8/2020,4/21/2020,130-330PM,G906 COOL,Atkins,4
Winter 2020,Regular Academic Session,Engineering,17386,Electrical Engineering And Computer Science (EECS),596,1,M Eng Team Project,LAB,P   ,,,,,F,,,1/8/2020,4/21/2020,830-930AM,ARR,,1.00-6.00
Winter 2020,Regular Academic Session,Engineering,33914,Electrical Engineering And Computer Science (EECS),598,1,Special Topics,LEC,P  W,M,,W,,,,,1/8/2020,4/21/2020,430-630PM,2505 GGBL,"Kuipers, Atkins",1.00-4.00
Winter 2020,Regular Academic Session,Engineering,33916,Electrical Engineering And Computer Science (EECS),598,2,Special Topics,LEC,P  W,,T,,TH,,,,1/8/2020,4/21/2020,1030-12PM,1005 DOW,Ying,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,25381,Electrical Engineering And Computer Science (EECS),598,3,Special Topics,LEC,P  W,M,,W,,,,,1/8/2020,4/21/2020,130-3PM,1012 EECS,Afshari,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,24509,Electrical Engineering And Computer Science (EECS),598,4,Special Topics,LEC,P  W,M,,W,,,,,1/8/2020,4/21/2020,12-130PM,3433 EECS,Kira,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,23398,Electrical Engineering And Computer Science (EECS),598,5,Special Topics,LEC,P  W,M,,W,,,,,1/8/2020,4/21/2020,4-530PM,2166 DOW,Pradhan,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,29980,Electrical Engineering And Computer Science (EECS),598,6,Special Topics,LEC,P  W,,T,,TH,,,,1/8/2020,4/21/2020,9-1030AM,133 CHRYS,Fessler,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,33939,Electrical Engineering And Computer Science (EECS),598,7,Special Topics,LEC,P  W,,T,,TH,,,,1/8/2020,4/21/2020,3-430PM,1003 EECS,Fouhey,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,33967,Electrical Engineering And Computer Science (EECS),598,8,Special Topics,LEC,P  W,,,W,,,,,1/8/2020,4/21/2020,3-6PM,1940 COOL,Chai,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,30123,Electrical Engineering And Computer Science (EECS),598,9,Special Topics,LEC,P  W,M,,W,,,,,1/8/2020,4/21/2020,12-130PM,3150 DOW,Chowdhury,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,30123,Electrical Engineering And Computer Science (EECS),598,9,Special Topics,LEC,P  W,,,,,F,,,1/8/2020,4/21/2020,12-1PM,1200 EECS,,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,33968,Electrical Engineering And Computer Science (EECS),598,10,Special Topics,LEC,P  W,,T,,TH,,,,1/8/2020,4/21/2020,130-3PM,1008 FXB,Mower Provost,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,34105,Electrical Engineering And Computer Science (EECS),598,12,Special Topics,LEC,P  W,,T,,TH,,,,1/8/2020,4/21/2020,3-430PM,1014 DOW,Banovic,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,34513,Electrical Engineering And Computer Science (EECS),598,13,Special Topics,LEC,P  W,,T,,,,,,1/8/2020,4/21/2020,3-6PM,1012 EECS,Mazumder,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,20685,Electrical Engineering And Computer Science (EECS),598,14,Special Topics,LEC,P  W,M,,W,,,,,1/8/2020,4/21/2020,1030-12PM,3427 EECS,Song,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,23371,Electrical Engineering And Computer Science (EECS),598,15,Special Topics,LEC,P  W,,T,,TH,,,,1/8/2020,4/21/2020,1030-12PM,1014 DOW,Sample,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,30191,Electrical Engineering And Computer Science (EECS),598,17,Special Topics,LEC,P  W,,T,,TH,,,,1/8/2020,4/21/2020,12-130PM,1690 BEYSTER,Seiler,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,17544,Electrical Engineering And Computer Science (EECS),599,1,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14753,Electrical Engineering And Computer Science (EECS),599,2,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Kira,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14754,Electrical Engineering And Computer Science (EECS),599,3,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Nees,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14755,Electrical Engineering And Computer Science (EECS),599,4,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Arthur,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14756,Electrical Engineering And Computer Science (EECS),599,5,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Bertacco,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,18502,Electrical Engineering And Computer Science (EECS),599,6,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Pettie,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14757,Electrical Engineering And Computer Science (EECS),599,7,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Dick,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,19653,Electrical Engineering And Computer Science (EECS),599,8,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Rais-Zadeh,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14758,Electrical Engineering And Computer Science (EECS),599,9,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Najarian,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14759,Electrical Engineering And Computer Science (EECS),599,10,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Scott,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14760,Electrical Engineering And Computer Science (EECS),599,11,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Papaefthymiou,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14761,Electrical Engineering And Computer Science (EECS),599,13,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Wise,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14762,Electrical Engineering And Computer Science (EECS),599,14,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Willingale,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14763,Electrical Engineering And Computer Science (EECS),599,15,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Mathieu,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14764,Electrical Engineering And Computer Science (EECS),599,16,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Sarabandi,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14765,Electrical Engineering And Computer Science (EECS),599,17,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Berenson,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14766,Electrical Engineering And Computer Science (EECS),599,18,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Kushner,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14767,Electrical Engineering And Computer Science (EECS),599,19,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Lynch,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14768,Electrical Engineering And Computer Science (EECS),599,20,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Mudge,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14769,Electrical Engineering And Computer Science (EECS),599,21,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Haddad,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14770,Electrical Engineering And Computer Science (EECS),599,22,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Wellman,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,19674,Electrical Engineering And Computer Science (EECS),599,23,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Hiskens,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14771,Electrical Engineering And Computer Science (EECS),599,24,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Johnson,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14772,Electrical Engineering And Computer Science (EECS),599,25,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Compton,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14773,Electrical Engineering And Computer Science (EECS),599,26,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Deng,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,18638,Electrical Engineering And Computer Science (EECS),599,27,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Nadakuditi,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14774,Electrical Engineering And Computer Science (EECS),599,28,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Syed,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14775,Electrical Engineering And Computer Science (EECS),599,29,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Brehob,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14776,Electrical Engineering And Computer Science (EECS),599,30,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Norris,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14777,Electrical Engineering And Computer Science (EECS),599,31,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Sun,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14778,Electrical Engineering And Computer Science (EECS),599,32,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Wenisch,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14779,Electrical Engineering And Computer Science (EECS),599,33,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Wentzloff,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,17340,Electrical Engineering And Computer Science (EECS),599,34,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Afshari,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14780,Electrical Engineering And Computer Science (EECS),599,35,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Atkins,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14781,Electrical Engineering And Computer Science (EECS),599,36,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Kuipers,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14782,Electrical Engineering And Computer Science (EECS),599,37,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Olson,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14783,Electrical Engineering And Computer Science (EECS),599,38,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Chesney,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14784,Electrical Engineering And Computer Science (EECS),599,39,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Chai,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14785,Electrical Engineering And Computer Science (EECS),599,40,Directed Study,IND,   W,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Islam,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14786,Electrical Engineering And Computer Science (EECS),599,41,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Deng,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,17577,Electrical Engineering And Computer Science (EECS),599,42,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Mao,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,19374,Electrical Engineering And Computer Science (EECS),599,43,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Narayanasamy,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14787,Electrical Engineering And Computer Science (EECS),599,44,Directed Study,IND,   W,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Ringenberg,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,17516,Electrical Engineering And Computer Science (EECS),599,45,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Munson Jr,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,17602,Electrical Engineering And Computer Science (EECS),599,46,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Nashashibi,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,17603,Electrical Engineering And Computer Science (EECS),599,47,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Kurabayashi,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14788,Electrical Engineering And Computer Science (EECS),599,48,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Dutta,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14789,Electrical Engineering And Computer Science (EECS),599,49,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Morgan,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,19663,Electrical Engineering And Computer Science (EECS),599,50,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Subramanian,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14790,Electrical Engineering And Computer Science (EECS),599,51,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Mi,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,17604,Electrical Engineering And Computer Science (EECS),599,52,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Goldman,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14791,Electrical Engineering And Computer Science (EECS),599,53,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Fessler,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14792,Electrical Engineering And Computer Science (EECS),599,54,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Tilbury,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14793,Electrical Engineering And Computer Science (EECS),599,55,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Kaplan,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,19370,Electrical Engineering And Computer Science (EECS),599,56,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Zhong,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14794,Electrical Engineering And Computer Science (EECS),599,57,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Mower Provost,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14795,Electrical Engineering And Computer Science (EECS),599,58,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Rand,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14796,Electrical Engineering And Computer Science (EECS),599,59,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Newman,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14797,Electrical Engineering And Computer Science (EECS),599,60,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Winsor,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14798,Electrical Engineering And Computer Science (EECS),599,61,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Neuhoff,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,17746,Electrical Engineering And Computer Science (EECS),599,62,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Lu,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14799,Electrical Engineering And Computer Science (EECS),599,63,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Terry Jr,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,19371,Electrical Engineering And Computer Science (EECS),599,64,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Jarrahi,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,20071,Electrical Engineering And Computer Science (EECS),599,65,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Cafarella,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14800,Electrical Engineering And Computer Science (EECS),599,66,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Stout,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,17747,Electrical Engineering And Computer Science (EECS),599,67,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Michielssen,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,19680,Electrical Engineering And Computer Science (EECS),599,68,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Halderman,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14801,Electrical Engineering And Computer Science (EECS),599,69,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Yoon,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14802,Electrical Engineering And Computer Science (EECS),599,70,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Liu,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14803,Electrical Engineering And Computer Science (EECS),599,71,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Shin,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14804,Electrical Engineering And Computer Science (EECS),599,72,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Chen,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14805,Electrical Engineering And Computer Science (EECS),599,73,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Hayes,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,17970,Electrical Engineering And Computer Science (EECS),599,74,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Ku,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14806,Electrical Engineering And Computer Science (EECS),599,75,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Stark,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,19372,Electrical Engineering And Computer Science (EECS),599,76,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Das,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14807,Electrical Engineering And Computer Science (EECS),599,77,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Kim,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,17971,Electrical Engineering And Computer Science (EECS),599,78,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Grbic,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14808,Electrical Engineering And Computer Science (EECS),599,79,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Forrest,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14809,Electrical Engineering And Computer Science (EECS),599,80,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Eustice,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14810,Electrical Engineering And Computer Science (EECS),599,82,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Yagle,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14811,Electrical Engineering And Computer Science (EECS),599,83,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Kanicki,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14812,Electrical Engineering And Computer Science (EECS),599,84,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Bhattacharya,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14813,Electrical Engineering And Computer Science (EECS),599,85,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Wakefield,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14814,Electrical Engineering And Computer Science (EECS),599,86,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Hofmann,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14815,Electrical Engineering And Computer Science (EECS),599,87,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Grizzle,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14816,Electrical Engineering And Computer Science (EECS),599,88,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Hero III,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,22104,Electrical Engineering And Computer Science (EECS),599,89,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Schoenebeck,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14817,Electrical Engineering And Computer Science (EECS),599,90,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Meerkov,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14818,Electrical Engineering And Computer Science (EECS),599,91,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Teneketzis,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14819,Electrical Engineering And Computer Science (EECS),599,92,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Ulaby,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,20288,Electrical Engineering And Computer Science (EECS),599,93,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Lee,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,21368,Electrical Engineering And Computer Science (EECS),599,94,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Adar,1.00-4.00
Winter 2020,Regular Academic Session,Engineering,14820,Electrical Engineering And Computer Science (EECS),599,95,Directed Study,IND,    ,,,,,,,,1/8/2020,4/21/2020,ARR,ARR,Revzen,1.00-4.00
